grau,contagem,fracao
3,3998,0.3998
4,2053,0.2053
5,1116,0.1116
6,710,0.071
7,454,0.0454
8,335,0.0335
9,244,0.0244
10,177,0.0177
11,159,0.0159
12,102,0.0102
13,82,0.0082
14,70,0.007
15,59,0.0059
16,46,0.0046
17,35,0.0035
18,32,0.0032
19,29,0.0029
20,27,0.0027
21,22,0.0022
22,20,0.002
23,26,0.0026
24,13,0.0013
25,16,0.0016
26,14,0.0014
27,12,0.0012
28,7,0.0007
29,9,0.0009
30,10,0.001
31,6,0.0006
32,4,0.0004
33,7,0.0007
34,4,0.0004
35,3,0.0003
36,5,0.0005
37,4,0.0004
38,5,0.0005
39,7,0.0007
40,2,0.0002
41,4,0.0004
42,2,0.0002
43,5,0.0005
44,2,0.0002
45,6,0.0006
46,2,0.0002
47,2,0.0002
48,2,0.0002
49,1,0.0001
50,4,0.0004
51,2,0.0002
52,5,0.0005
53,1,0.0001
54,1,0.0001
55,1,0.0001
56,2,0.0002
58,1,0.0001
60,3,0.0003
61,1,0.0001
62,1,0.0001
65,1,0.0001
67,1,0.0001
68,1,0.0001
70,1,0.0001
71,1,0.0001
72,1,0.0001
73,2,0.0002
76,1,0.0001
79,1,0.0001
81,1,0.0001
85,1,0.0001
97,1,0.0001
103,1,0.0001
107,2,0.0002
110,1,0.0001
125,2,0.0002
126,1,0.0001
130,1,0.0001
148,1,0.0001
154,1,0.0001
155,1,0.0001
237,1,0.0001
247,1,0.0001
322,1,0.0001
374,1,0.0001
